"host_response_time","host_is_superhost","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","room_type","accommodates","bedrooms","beds","price","minimum_nights_avg_ntm","maximum_nights_avg_ntm","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_location","review_scores_value","instant_bookable","reviews_per_month","host_since_season","host_since_year","host_response_rate_cat","host_acceptance_rate_cat"
"Unknown",TRUE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",4,2,2,140,3,1125,29,59,86,344,210,19,0,98,10,10,10,10,FALSE,2.7,"Winter","2014","Unknown","very high"
"within an hour",TRUE,24,TRUE,TRUE,"Eixample","Entire home/apt",5,2,3,219,1,30,0,0,0,0,153,17,0,90,9,9,10,9,TRUE,1.95,"Spring","2010","very high","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Horta-Guinardó","Entire home/apt",2,1,1,150,31,1125,29,59,89,89,0,0,0,95,10,10,10,10,FALSE,0.22,"Summer","2013","Unknown","Unknown"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Entire home/apt",2,2,1,55,32,1125,0,0,21,294,7,1,0,100,9,10,9,10,FALSE,0.09,"Summer","2013","Unknown","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",2,1,2,51.86,2,1125,14,42,72,342,234,21,1,97,10,10,10,9,TRUE,3.01,"Winter","2013","very high","very high"
"within an hour",FALSE,10,TRUE,TRUE,"Eixample","Entire home/apt",6,2,6,70,20,1125,29,59,89,119,5,0,0,100,10,9,10,10,FALSE,0.08,"Winter","2014","very high","very high"
"within an hour",TRUE,5,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,2,65,2,1125,21,46,68,187,319,31,0,94,10,10,10,9,FALSE,4.01,"Winter","2014","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Eixample","Private room",1,1,1,29,2,15,30,60,69,77,255,5,0,98,10,10,10,10,TRUE,3.25,"Winter","2014","Unknown","very high"
"within an hour",FALSE,39,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,3,4,56,88,1125,29,59,89,364,26,0,0,90,8,9,9,9,FALSE,0.33,"Summer","2012","very high","very high"
"within a day",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",7,3,5,83,3.5,1125,30,60,90,335,130,25,0,94,10,10,10,10,TRUE,1.67,"Winter","2010","average","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,33,4,1125,7,7,7,242,52,3,0,97,10,10,10,10,FALSE,0.68,"Spring","2013","Unknown","average"
"Unknown",TRUE,2,TRUE,TRUE,"Eixample","Private room",2,1,1,75,1,30,0,0,0,0,195,14,0,98,10,10,10,10,FALSE,2.75,"Winter","2014","Unknown","very high"
"within an hour",TRUE,13,TRUE,TRUE,"Eixample","Entire home/apt",6,3,5,137,3,1125,0,18,48,264,170,15,1,97,10,10,10,10,TRUE,2.29,"Spring","2012","very high","very high"
"within an hour",TRUE,3,TRUE,TRUE,"Eixample","Entire home/apt",4,1,1,99,1,1125,26,49,79,348,375,38,0,97,10,10,10,9,TRUE,4.71,"Winter","2013","very high","very high"
"within an hour",FALSE,41,TRUE,TRUE,"Eixample","Entire home/apt",3,3,6,336,29.4,330,30,60,90,365,30,4,0,77,8,7,9,7,TRUE,0.42,"Summer","2012","very high","very high"
"Unknown",TRUE,1,TRUE,FALSE,"Gràcia","Private room",2,1,1,60,1,7,3,13,23,230,183,29,0,100,10,10,10,10,FALSE,2.38,"Winter","2014","Unknown","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",4,1,1,49,1,1125,0,25,55,302,148,16,0,98,10,10,10,10,FALSE,2.7,"Spring","2013","very high","very high"
"within an hour",FALSE,35,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,2,35,5,1125,18,35,65,73,208,27,1,87,9,9,9,9,TRUE,2.62,"Autumn","2013","very high","very high"
"within a day",FALSE,8,TRUE,TRUE,"Eixample","Entire home/apt",5,2,3,350,2,330,15,30,45,292,8,0,0,97,10,10,10,10,FALSE,0.1,"Spring","2011","very high","very high"
"Unknown",FALSE,4,TRUE,FALSE,"Ciutat Vella","Private room",2,1,1,50,2,5,0,0,0,0,2,1,0,100,10,10,10,9,TRUE,0.05,"Winter","2014","Unknown","very high"
"within a day",FALSE,8,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,95,2,330,29,59,88,363,144,21,0,98,10,10,10,10,FALSE,1.87,"Spring","2011","very high","very high"
"within a day",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",6,3,4,268,4,1125,2,6,6,91,31,0,0,95,10,10,10,9,TRUE,0.41,"Summer","2012","average","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,1,2,41,2,1125,21,44,74,164,227,29,2,91,9,9,10,9,FALSE,2.88,"Summer","2012","very high","very high"
"within a day",FALSE,8,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,185,2,360,29,58,88,363,205,21,0,98,10,10,10,10,FALSE,2.59,"Spring","2011","very high","very high"
"within a few hours",FALSE,14,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",6,3,5,90,2.2,30,29,59,89,129,141,11,0,84,8,9,9,8,FALSE,1.79,"Summer","2013","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Sant Martí","Entire home/apt",2,1,1,75,4,1125,30,54,76,299,122,15,0,91,10,10,10,9,FALSE,1.59,"Winter","2014","very high","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Eixample","Private room",1,1,3,35,2,1125,0,23,53,143,154,18,0,93,10,9,10,9,TRUE,3.63,"Winter","2014","very high","very high"
"within a few hours",TRUE,1,TRUE,TRUE,"Eixample","Private room",1,1,0,17,6.6,21,15,27,49,49,203,31,0,95,10,10,10,10,FALSE,2.65,"Winter","2014","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,47,5,1125,7,7,28,303,12,2,0,100,10,10,10,10,FALSE,0.16,"Spring","2013","Unknown","average"
"within a few hours",TRUE,2,TRUE,TRUE,"Eixample","Entire home/apt",6,3,4,150,3.1,1125,28,58,88,363,105,11,0,92,10,10,9,9,TRUE,1.33,"Winter","2014","very high","very high"
"within an hour",TRUE,5,TRUE,TRUE,"Gràcia","Entire home/apt",4,3,4,96,3,1125,25,50,80,170,243,22,0,98,10,10,10,10,FALSE,3.33,"Summer","2011","very high","very high"
"within an hour",TRUE,3,TRUE,TRUE,"Gràcia","Entire home/apt",7,2,5,96,3,1125,30,60,90,365,55,9,0,99,10,10,10,10,TRUE,1.58,"Summer","2012","very high","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Ciutat Vella","Private room",4,1,2,45,3,1125,30,60,90,365,86,0,0,92,9,9,10,9,FALSE,1.08,"Summer","2013","Unknown","Unknown"
"within an hour",FALSE,2,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",8,3,5,251,3,1125,2,2,2,2,135,28,0,94,10,9,10,9,FALSE,1.69,"Winter","2014","very high","very high"
"within a day",FALSE,3,TRUE,TRUE,"Ciutat Vella","Entire home/apt",2,1,1,30,32,1125,10,10,11,286,18,2,0,82,9,9,8,8,FALSE,0.23,"Winter","2014","very high","high"
"within an hour",FALSE,1,TRUE,TRUE,"Ciutat Vella","Entire home/apt",6,2,3,128,70,1125,7,7,7,82,199,31,0,89,10,9,9,9,FALSE,2.56,"Winter","2014","very high","very high"
"within an hour",FALSE,34,TRUE,TRUE,"Gràcia","Entire home/apt",3,1,2,33,8,180,0,25,41,301,154,15,1,90,9,10,10,9,TRUE,1.99,"Summer","2013","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",3,2,2,60,7,1125,24,54,84,84,87,1,0,90,10,9,9,9,FALSE,1.12,"Winter","2014","very high","very high"
"within a day",FALSE,45,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,80,2.6,300,30,56,82,354,15,5,0,83,9,9,10,8,TRUE,0.23,"Spring","2012","high","very high"
"within a few hours",FALSE,35,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",2,1,2,62,1.6,1125,28,58,88,127,142,21,0,77,8,8,9,7,FALSE,1.92,"Spring","2012","very high","very high"
"within a few hours",TRUE,3,TRUE,TRUE,"Gràcia","Entire home/apt",4,2,3,96,3.2,100,30,60,90,365,120,16,0,98,10,10,10,10,FALSE,1.58,"Winter","2013","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,41,1,8,30,60,90,91,63,5,0,96,10,9,10,9,FALSE,1.48,"Winter","2014","Unknown","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",4,1,2,74,2,90,21,42,72,343,128,21,1,92,10,9,10,9,FALSE,1.67,"Winter","2014","very high","very high"
"within a few hours",TRUE,1,TRUE,FALSE,"Eixample","Entire home/apt",5,2,2,53.14,2,1125,14,14,36,122,249,24,0,92,10,9,10,9,FALSE,3.17,"Winter","2014","very high","very high"
"within a day",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",9,3,5,412,3,1125,30,60,90,361,1,0,0,85,8,9,9,9,FALSE,0.02,"Winter","2010","average","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,120,3,1125,30,60,90,250,10,0,0,88,9,9,10,8,TRUE,0.13,"Autumn","2011","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,155.57,2,1125,26,56,86,356,355,39,4,98,10,10,10,10,TRUE,4.49,"Winter","2014","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sant Martí","Private room",2,1,1,90,3,1125,23,53,83,358,20,1,0,88,9,9,9,8,TRUE,0.26,"Winter","2014","Unknown","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Ciutat Vella","Private room",1,1,1,49,4,1125,29,59,89,89,2,0,0,100,10,9,10,10,FALSE,0.12,"Autumn","2011","Unknown","Unknown"
"within a day",TRUE,6,TRUE,TRUE,"Eixample","Entire home/apt",8,3,7,279,2.1,30,30,60,90,343,46,1,0,85,9,9,9,8,TRUE,0.61,"Spring","2012","high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Gràcia","Entire home/apt",6,3,5,128,3,1125,0,0,0,0,184,20,0,97,10,10,10,10,TRUE,2.39,"Winter","2014","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Horta-Guinardó","Private room",1,1,1,24,3,7,27,53,83,173,335,17,0,97,10,10,10,10,TRUE,4.25,"Winter","2014","very high","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Sant Martí","Private room",1,1,1,17,32,1125,22,52,82,357,100,12,0,90,9,8,9,9,TRUE,1.32,"Winter","2013","very high","very high"
"within a day",FALSE,1,TRUE,TRUE,"Eixample","Private room",2,1,1,37,3,1125,5,5,5,59,138,5,0,94,10,9,10,9,FALSE,1.74,"Winter","2014","very high","average"
"within an hour",TRUE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",4,2,2,110,3,1125,0,6,8,8,216,19,0,99,10,10,10,10,FALSE,2.8,"Winter","2014","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,3,4,59,2,1125,20,43,71,251,246,44,1,92,10,10,10,9,FALSE,3.21,"Winter","2013","very high","very high"
"within a day",FALSE,11,TRUE,TRUE,"Sant Martí","Entire home/apt",4,1,2,152,1.4,999,27,40,40,40,6,1,0,97,10,9,10,9,TRUE,0.12,"Winter","2014","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",2,1,2,104,1,1125,6,6,9,9,84,17,0,94,10,9,10,9,TRUE,1.12,"Winter","2014","Unknown","very high"
"within an hour",FALSE,4,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,3,60,2,1125,28,47,77,335,69,13,1,92,9,9,9,9,FALSE,0.87,"Winter","2014","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",4,1,2,63,1,1125,27,57,87,356,236,23,0,98,10,10,10,10,TRUE,2.99,"Winter","2014","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Sant Andreu","Entire home/apt",4,2,4,64,1,1125,14,16,16,231,250,36,2,93,10,9,10,10,TRUE,3.24,"Spring","2011","very high","very high"
"within an hour",FALSE,53,TRUE,TRUE,"Sant Martí","Entire home/apt",6,3,0,155,2.6,300,21,50,78,237,33,6,1,84,9,9,9,8,TRUE,0.45,"Spring","2012","very high","high"
"Unknown",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,3,5,120,2.5,6,26,52,82,357,101,6,0,93,10,8,10,9,FALSE,1.31,"Winter","2014","Unknown","very high"
"within an hour",FALSE,39,TRUE,TRUE,"Ciutat Vella","Entire home/apt",5,3,5,55,88,1120,29,59,89,364,26,3,0,85,8,8,10,8,FALSE,0.33,"Summer","2012","very high","very high"
"within a day",TRUE,5,TRUE,TRUE,"Sant Martí","Private room",4,1,4,49,1,28,30,60,90,188,108,17,0,95,10,10,10,9,FALSE,1.44,"Winter","2014","high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,1,2,80,2,1125,30,59,88,178,96,11,0,92,10,10,9,9,TRUE,1.22,"Summer","2013","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",2,1,1,75,3,1125,30,60,90,365,105,7,0,89,10,9,9,9,FALSE,1.39,"Winter","2014","Unknown","average"
"within a few hours",TRUE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Private room",2,1,1,36,30,365,30,60,90,365,77,4,0,94,10,10,10,9,FALSE,1.02,"Summer","2012","very high","high"
"within a day",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",4,3,2,93,3.5,1125,30,57,87,332,45,1,0,92,10,9,10,9,TRUE,0.59,"Winter","2010","average","very high"
"within a few hours",FALSE,14,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",4,2,3,108,1,1125,11,41,71,346,57,4,0,92,9,9,9,9,TRUE,0.72,"Spring","2013","very high","very high"
"within a few hours",FALSE,5,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,62,2,1125,17,47,77,352,209,26,0,88,9,9,10,9,TRUE,2.65,"Winter","2014","very high","very high"
"within a few hours",TRUE,2,TRUE,TRUE,"Sants-Montjuïc","Private room",1,1,1,27,30,1125,0,24,54,329,17,3,0,98,10,10,9,10,FALSE,0.22,"Autumn","2012","very high","very high"
"within a few hours",FALSE,38,TRUE,TRUE,"Eixample","Entire home/apt",4,2,2,150,3,1124,0,24,54,124,155,26,0,93,10,9,10,9,FALSE,2.14,"Autumn","2011","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Eixample","Entire home/apt",8,3,6,100,16,1125,29,46,70,340,89,5,0,80,9,8,9,9,TRUE,1.17,"Winter","2014","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",4,2,2,135,3,365,30,60,90,335,64,1,0,91,10,10,10,9,TRUE,0.81,"Autumn","2011","very high","very high"
"within an hour",TRUE,14,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",2,1,1,171,2,30,26,46,54,55,65,12,1,98,10,10,10,9,FALSE,0.95,"Summer","2012","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Nou Barris","Private room",2,1,1,50,2,1125,0,24,54,329,24,0,0,95,9,10,9,10,TRUE,0.48,"Winter","2014","Unknown","very high"
"within a few hours",TRUE,2,TRUE,TRUE,"Eixample","Entire home/apt",4,3,4,105,3,1125,29,59,89,337,159,15,0,97,10,10,10,10,TRUE,2.04,"Winter","2014","very high","very high"
"within a few hours",TRUE,1,TRUE,FALSE,"Eixample","Private room",1,1,1,29,2,45,10,40,70,330,50,9,0,97,10,9,10,10,FALSE,0.64,"Autumn","2011","very high","high"
"within an hour",TRUE,4,TRUE,TRUE,"Gràcia","Private room",2,1,0,55,2,1125,30,60,90,365,41,7,0,98,10,10,9,10,FALSE,0.54,"Summer","2011","very high","very high"
"within a few hours",FALSE,35,TRUE,TRUE,"Ciutat Vella","Entire home/apt",2,1,1,42,32,1125,0,0,0,247,50,3,0,87,9,9,9,9,FALSE,0.65,"Spring","2012","very high","very high"
"within a day",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",5,3,3,95,5,30,30,60,90,365,280,32,0,97,10,10,10,10,FALSE,3.62,"Spring","2013","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",6,3,4,55,1.9,99,29,59,89,157,38,0,0,78,8,8,9,8,TRUE,0.49,"Winter","2014","very high","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,3,3,96,3,150,0,0,0,0,139,7,0,88,9,9,10,9,FALSE,1.76,"Spring","2013","Unknown","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",7,3,5,55,1.9,99,18,48,78,149,40,4,0,83,8,8,9,8,TRUE,0.53,"Winter","2014","very high","very high"
"within an hour",FALSE,5,TRUE,TRUE,"Ciutat Vella","Entire home/apt",3,1,2,55,31,180,29,59,89,364,2,0,0,100,10,10,10,6,FALSE,0.04,"Autumn","2013","very high","very high"
"within an hour",FALSE,4,TRUE,TRUE,"Eixample","Entire home/apt",5,3,4,127,3,1125,0,0,0,1,139,11,0,87,9,9,9,9,TRUE,1.78,"Winter","2014","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,24,3,1125,19,49,79,352,311,26,2,97,10,10,10,9,TRUE,4.03,"Summer","2013","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Eixample","Entire home/apt",6,2,5,140,2,1125,30,59,86,361,415,47,0,94,10,10,10,10,FALSE,5.28,"Winter","2014","very high","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",4,3,3,46,31,360,24,54,84,359,3,0,0,90,9,9,8,9,FALSE,0.04,"Winter","2014","very high","very high"
"within a few hours",TRUE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",4,1,4,87,3,365,22,52,82,357,304,35,0,96,10,10,10,10,FALSE,3.92,"Spring","2011","very high","high"
"within an hour",FALSE,8,TRUE,TRUE,"Gràcia","Entire home/apt",10,4,10,145,1,1125,30,60,90,365,19,1,0,87,8,9,9,9,FALSE,0.25,"Autumn","2012","very high","low"
"within a day",FALSE,11,TRUE,TRUE,"Sant Martí","Entire home/apt",4,1,2,152,1.4,999,27,40,40,40,0,0,0,97,10,9,10,9,TRUE,0.12,"Winter","2014","very high","very high"
"within an hour",FALSE,53,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",6,2,3,86,2.6,1125,30,60,90,248,12,0,0,84,9,9,8,8,TRUE,0.15,"Spring","2012","very high","high"
"within an hour",FALSE,35,TRUE,TRUE,"Ciutat Vella","Private room",2,1,1,14,5,1125,6,31,61,70,88,18,1,88,9,9,9,9,TRUE,1.21,"Autumn","2013","very high","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",5,2,4,99,2,1125,25,55,85,327,17,1,0,93,10,10,9,10,TRUE,0.22,"Winter","2014","very high","average"
"within an hour",TRUE,2,TRUE,TRUE,"Gràcia","Entire home/apt",4,1,2,108,3,1125,0,0,0,0,209,24,0,98,10,10,10,10,TRUE,2.69,"Winter","2013","very high","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Sarrià-Sant Gervasi","Entire home/apt",2,1,1,79,2,365,30,60,90,358,273,27,0,93,10,9,10,9,FALSE,3.5,"Spring","2013","very high","high"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Entire home/apt",4,2,3,180,3,1125,30,60,90,336,307,20,0,98,10,10,10,10,FALSE,3.95,"Winter","2013","very high","very high"
"within an hour",TRUE,4,TRUE,TRUE,"Eixample","Entire home/apt",6,2,2,80,1,1125,30,46,70,287,522,71,0,97,10,10,10,10,FALSE,6.73,"Summer","2013","very high","very high"
"within an hour",TRUE,2,TRUE,TRUE,"Horta-Guinardó","Private room",1,1,1,24,3,7,27,57,87,177,308,17,2,98,10,10,10,10,TRUE,3.99,"Winter","2014","very high","very high"
"within a few hours",TRUE,4,TRUE,FALSE,"Ciutat Vella","Entire home/apt",6,2,4,130,1,1125,30,53,75,336,149,20,0,98,10,10,9,10,TRUE,2.83,"Spring","2013","very high","very high"
"within a day",FALSE,0,TRUE,TRUE,"Sant Martí","Entire home/apt",11,6,6,475,2,1125,27,57,87,280,30,0,0,92,9,9,10,9,TRUE,0.39,"Winter","2014","very high","very high"
"Unknown",FALSE,2,TRUE,TRUE,"Eixample","Entire home/apt",5,3,3,65,31.6,330,0,0,0,0,127,0,0,82,9,9,10,8,FALSE,1.7,"Winter","2014","Unknown","high"
"Unknown",TRUE,1,TRUE,TRUE,"Gràcia","Entire home/apt",4,3,3,114,4,1125,25,55,85,266,173,17,0,99,10,10,10,10,FALSE,2.23,"Winter","2014","Unknown","very high"
"within an hour",FALSE,2,TRUE,TRUE,"Sant Martí","Private room",2,1,1,21,1,1125,24,50,80,355,173,14,1,91,10,9,10,9,FALSE,2.31,"Winter","2014","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Gràcia","Private room",2,1,1,31,1,1125,0,0,22,297,40,4,0,96,10,9,10,10,FALSE,0.8,"Winter","2014","very high","low"
"within an hour",FALSE,29,TRUE,FALSE,"Sarrià-Sant Gervasi","Entire home/apt",2,1,1,60,2,1125,1,25,50,122,105,16,1,90,10,10,9,9,TRUE,1.55,"Winter","2012","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Horta-Guinardó","Entire home/apt",3,2,2,110,3,1125,29,59,89,364,142,9,0,93,10,10,10,9,FALSE,1.84,"Winter","2014","Unknown","very high"
"within an hour",TRUE,1,TRUE,FALSE,"Eixample","Entire home/apt",2,1,1,71,1,1125,13,13,34,287,239,36,0,96,10,10,10,10,TRUE,3.09,"Winter","2014","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",6,3,4,87,2,60,30,60,82,256,48,13,0,87,9,9,9,9,FALSE,0.63,"Autumn","2013","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",4,2,4,75,3,1125,19,30,52,259,262,32,2,95,9,10,9,9,TRUE,3.41,"Winter","2014","very high","very high"
"within a day",TRUE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",7,3,6,150,2,365,27,57,83,352,266,30,0,93,10,10,10,10,FALSE,3.5,"Winter","2014","very high","very high"
"within a few hours",FALSE,1,TRUE,TRUE,"Eixample","Private room",1,1,1,12,31,365,30,60,68,68,119,0,0,95,10,10,10,10,FALSE,1.53,"Winter","2014","very high","Unknown"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",4,3,4,82,2,60,30,55,85,265,59,10,0,85,9,8,10,9,FALSE,0.78,"Autumn","2013","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",5,3,4,87,2,60,30,60,90,270,52,7,0,87,9,9,9,8,FALSE,0.7,"Autumn","2013","very high","very high"
"within a day",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,1,2,60,2,1125,5,11,11,192,25,0,0,90,10,10,9,9,FALSE,0.33,"Winter","2014","very high","very high"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",5,3,3,136,3,1125,19,19,20,22,132,11,0,94,10,10,10,10,FALSE,1.71,"Autumn","2012","very high","very high"
"within an hour",FALSE,19,TRUE,TRUE,"Les Corts","Entire home/apt",5,3,4,81,17.9,365,22,44,74,116,67,9,0,90,10,9,9,9,TRUE,0.85,"Autumn","2012","very high","very high"
"Unknown",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",2,1,1,125,3,1125,25,48,77,342,72,7,0,96,10,10,10,9,TRUE,0.95,"Winter","2014","Unknown","very high"
"Unknown",TRUE,2,TRUE,TRUE,"Eixample","Private room",2,1,1,50,2,30,30,60,90,365,310,33,0,96,10,10,10,10,FALSE,4.01,"Autumn","2012","Unknown","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Eixample","Entire home/apt",6,2,4,80,1,30,27,46,76,335,334,46,0,85,9,8,10,9,FALSE,4.32,"Winter","2014","high","very high"
"within a few hours",FALSE,3,TRUE,TRUE,"Eixample","Entire home/apt",4,1,1,73,2,1125,8,38,68,116,218,34,2,97,10,10,10,9,TRUE,2.82,"Summer","2012","very high","high"
"within a day",FALSE,0,TRUE,TRUE,"Sant Martí","Entire home/apt",8,3,8,135,2,1125,27,57,87,280,52,4,0,93,10,9,10,9,FALSE,0.7,"Winter","2014","very high","very high"
"within a few hours",FALSE,9,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,1,2,101,2,125,0,0,0,0,158,9,0,88,9,9,9,9,FALSE,2.05,"Winter","2013","very high","very high"
"Unknown",TRUE,2,TRUE,TRUE,"Eixample","Private room",2,1,1,44,2,30,30,60,90,365,218,22,0,92,10,10,10,9,FALSE,2.78,"Autumn","2012","Unknown","very high"
"within an hour",FALSE,1,TRUE,FALSE,"Sant Martí","Private room",2,1,0,35,1,1125,21,50,80,309,335,26,1,94,9,9,9,9,TRUE,4.33,"Winter","2014","very high","very high"
"Unknown",FALSE,1,TRUE,TRUE,"Horta-Guinardó","Entire home/apt",6,2,4,85,2,1125,23,46,71,314,238,32,0,96,10,9,10,10,FALSE,3.36,"Winter","2017","Unknown","Unknown"
"within an hour",TRUE,1,TRUE,TRUE,"Eixample","Entire home/apt",2,1,1,115,3,1125,17,37,66,247,232,16,0,97,10,10,10,10,TRUE,3.01,"Spring","2013","very high","very high"
"within a day",FALSE,1,TRUE,TRUE,"Sant Martí","Entire home/apt",6,2,4,150,3.1,60,30,60,90,358,131,16,0,94,9,9,10,9,FALSE,1.68,"Winter","2014","very high","very high"
"within an hour",TRUE,5,TRUE,TRUE,"Eixample","Entire home/apt",5,1,3,43,3,1125,29,59,89,364,472,54,5,95,10,9,10,9,TRUE,6.07,"Summer","2013","very high","very high"
"within a day",FALSE,41,TRUE,TRUE,"Eixample","Entire home/apt",5,1,3,135,3,1125,29,59,85,155,57,12,0,87,9,9,10,9,TRUE,0.8,"Summer","2012","average","very high"
"within an hour",FALSE,3,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,3,3,99,2,1125,24,53,82,350,5,0,0,96,9,10,10,10,TRUE,0.07,"Winter","2014","very high","average"
"within a few hours",FALSE,1,TRUE,TRUE,"Sants-Montjuïc","Entire home/apt",4,2,3,89,5,1125,28,47,77,352,145,20,0,95,10,9,10,9,FALSE,1.89,"Summer","2011","very high","very high"
"within an hour",FALSE,22,TRUE,TRUE,"Eixample","Entire home/apt",6,3,3,124,3,1125,30,60,90,365,72,5,0,93,10,9,10,9,TRUE,0.95,"Autumn","2011","very high","very high"
"within an hour",FALSE,1,TRUE,TRUE,"Eixample","Entire home/apt",2,1,1,58,3,1125,11,25,55,322,184,18,2,89,9,9,10,9,TRUE,2.4,"Summer","2012","very high","very high"
"within an hour",FALSE,0,TRUE,TRUE,"Horta-Guinardó","Private room",2,1,1,40,1,1125,0,0,0,73,67,0,0,95,10,10,9,10,TRUE,1.27,"Winter","2014","very high","very low"
